experiment,structure,temperature_uK,target,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,eta_peak,step_displacement_frac,move_duration_us,shots,captured,capture_rate,wilson_low,wilson_high,follow_loss_rate,exc_move_end_median,exc_move_end_q90,margin_q10,failure_follow_loss,failure_ramp_excitation,failure_handoff,work_residual_median_over_depth,status,error
end_to_end,frozen_shape_scaled,5.0,45,44.99999999999999,22.048015678588925,54.407889143925864,101.98415223029295,65.01180961221567,0.38528134801555114,0.0019218360575564948,44.111250000000005,300,293,0.9766666666666667,0.9526280277317246,0.9886523397008747,1.0,1.0654537874255374,1.1136260929783717,0.26664473107253034,0,0,7,4.58422704557008e-06,ok,
end_to_end,frozen_shape_scaled,5.0,32,32.0,15.678588926996568,76.51109410864576,143.41521407384943,91.4228572671783,0.5418018956468688,0.0019218360575564946,31.367999999999995,300,0,0.0,8.673617379884035e-19,0.012642971224546034,1.0,2.184497174637672,2.5055945623693487,-2.992937355397397,0,0,300,7.298033057966302e-06,ok,
end_to_end,frozen_shape_scaled,5.0,25,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,frozen_shape_scaled,5.0,20,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,trapezoid_frozen_ramp,5.0,600,600.0,50.0,4.079366106015774,5.8276658657368205,4.644820537099869,0.022016077120150482,0.0002490455498178129,588.3267001852957,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0023659476282376,1.01547456499077,0.9408087349250402,0,0,0,6.571606618899198e-07,ok,
end_to_end,trapezoid_frozen_ramp,5.0,400,399.99999999999994,50.0,6.119049159023662,8.741498798605233,6.967230805649806,0.03302411568022573,0.0003735683247267194,392.21780012353054,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0029272814153178,1.0169201378969646,0.9409934519084752,0,0,0,6.922698485222644e-07,ok,
end_to_end,trapezoid_frozen_ramp,5.0,300,300.0,50.0,8.158732212031548,11.655331731473641,9.289641074199738,0.044032154240300964,0.0004980910996356258,294.1633500926479,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0027230297109688,1.018120780093767,0.9408151787466998,0,0,0,7.2896936911178e-07,ok,
end_to_end,trapezoid_frozen_ramp,5.0,220,219.99999999999997,50.0,11.125543925497567,15.89363417928224,12.667692373908736,0.06004384669131949,0.0006792151358667623,215.71979006794177,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.002757844849655,1.0174134313104712,0.939490177300436,0,0,0,9.032784664128803e-07,ok,
end_to_end,trapezoid_frozen_ramp,5.0,160,160.0,50.0,15.297622897559155,21.85374699651308,17.418077014124513,0.08256028920056431,0.0009339208118167984,156.8871200494122,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0026628273281761,1.0176372510537963,0.9407300731005305,0,0,0,1.1444071724927135e-06,ok,
end_to_end,trapezoid_frozen_ramp,5.0,120,119.99999999999999,50.0,20.396830530078873,29.138329328684105,23.22410268549935,0.11008038560075241,0.0012452277490890644,117.66534003705914,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.007767853753396,1.0370556774205717,0.8931788879137621,0,0,0,1.8239367558660993e-06,ok,
